classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class DoS/DDoS,psh_flag_number <= 0.33,0.5043859746642517,0.0054340675245388,263,132
Class DoS/DDoS,ack_count > 8.5,0.5032735121977687,0.0167627167706113,264,45
Class DoS/DDoS,Min <= 1504.0,0.5022011666397772,0.0052454759962457,265,138
Class DoS/DDoS,Tot size > 790.65,0.4942493799475227,0.0042323447628571,266,166
Class DoS/DDoS,AVG > 72.55,0.4926347179181397,0.0004692858959851,267,272
Class DoS/DDoS,HTTPS > 0.05,0.4923540435385502,0.0044779523345876,268,158
Class DoS/DDoS,AVG <= 204.45,0.4910002808808782,0.0042718174083138,269,163
Class DoS/DDoS,rst_flag_number <= 0.15,0.4881789523759278,0.0138373551573204,270,52
Class DoS/DDoS,Std > 355.28,0.4776753489890047,0.0049867108760295,271,142
Class DoS/DDoS,rst_count <= 1.5,0.4705646118274891,0.0040130522880976,272,171
Class DoS/DDoS,TCP > 0.5,0.4667464379254293,0.0039735796426409,273,174
