classe,predicado,lrc,cobertura,seletividade,lift
Benign,Std <= 777.21,0.0006874395365466564,0.7302,0.9633,0.758
Benign,Rate > 24.76,0.0008878856080327377,0.9924,0.9863,1.006
Benign,UDP > 0.03,0.0007363171182735975,0.559,0.3862,1.447
Benign,LLC <= 0.97,0.0006219038168678966,0.1776,0.0999,1.778
Benign,Tot sum <= 13579.0,1.343039660321181,0.8382,0.7119,1.177
Benign,Header_Length <= 19.9,1.2890353091147964,0.1255,0.4911,0.256
Benign,Variance <= 486295.11,0.0011516737349405492,0.6537,0.9404,0.695
Benign,Variance <= 201838.1,2.2571297292532986,0.5327,0.7722,0.69
Benign,Rate > 29.46,2.3521120641294537,0.9809,0.9788,1.002
Benign,Std <= 450.93,2.4578546821492484,0.5345,0.7734,0.691
Benign,Tot size <= 89.95,0.7478246510436697,0.1963,0.4707,0.417
Benign,Std <= 981.35,0.7857630935017357,0.8106,0.9775,0.829
Benign,Std <= 1148.93,0.8293834373752279,0.8624,0.9854,0.875
Benign,Variance <= 1477466.88,0.8802242045500996,0.8832,0.9882,0.894
Benign,AVG <= 2611.85,0.9405629200989022,0.9894,0.9987,0.991
Benign,ack_flag_number <= 0.95,0.9760073140619878,0.6267,0.8715,0.719
Benign,psh_flag_number > 0.05,1.0352911529419828,0.732,0.2904,2.52
Benign,Tot sum <= 1344.5,1.1043350834806533,0.3878,0.1769,2.193
Benign,rst_flag_number <= 0.6,1.186289059825456,1.0,0.9486,1.054
Benign,Tot sum > 895.5,1.2757413841087297,0.8082,0.9122,0.886
Benign,Variance <= 7853.14,1.3050948291452682,0.3696,0.6588,0.561
Benign,DNS <= 0.35,1.464206760158112,0.9855,0.9921,0.993
Benign,HTTP <= 1.0,1.3813591515036616,1.0,1.0,1.0
Benign,Header_Length <= 20.1,1.463906802537097,0.1503,0.7146,0.21
Benign,IPv > 0.91,0.00019441349477924985,0.8224,0.9243,0.89
Benign,ack_count <= 5.5,2.037994503777814,0.1485,0.6685,0.222
Benign,Tot sum > 614.5,1.5180394766789573,0.9982,0.9691,1.03
Benign,rst_count > 1.0,0.0004206351212854291,0.0036,0.1166,0.031
Benign,rst_flag_number > 0.25,0.00021031756064271456,0.0009,0.0786,0.012
Benign,ack_count > 8.5,2.3682912272962042,0.5517,0.2408,2.291
Benign,syn_flag_number <= 0.98,0.00021854380160657563,1.0,0.8941,1.118
Benign,Variance > 356343.78,0.00021936642570296176,0.412,0.1064,3.871
Benign,ack_count <= 18.5,0.0011530447751011926,1.0,0.885,1.13
Benign,Max <= 2470.0,0.0009224358200809542,0.7078,0.9503,0.745
Benign,syn_flag_number <= 0.07,0.0006918268650607155,0.8772,0.7407,1.184
Benign,ICMP > 0.07,0.0004612179100404771,0.0693,0.116,0.597
Benign,Time_To_Live > 63.17,0.00023060895502023855,0.9177,0.9019,1.018
Benign,ack_count > 0.5,2.2153404398057326,0.9967,0.5395,1.848
Benign,fin_flag_number > 0.04,0.916431907358859,0.0938,0.1058,0.886
Benign,TCP > 0.75,0.9727029222900325,0.6993,0.4948,1.413
Benign,HTTPS <= 0.45,1.0399907141042486,0.2299,0.8415,0.273
Benign,Variance <= 1548773.62,1.122380322300728,0.889,0.9891,0.899
Benign,Max <= 3472.5,1.2266821015832619,0.8811,0.9877,0.892
Benign,Rate > 171.11,0.8516589927632473,0.494,0.8293,0.596
Benign,AVG <= 1905.55,0.8886045597889526,0.9519,0.9935,0.958
Benign,HTTPS > 0.95,0.9304851348647958,0.2671,0.075,3.563
Benign,AVG <= 1808.1,1.1478160652155474,0.944,0.9931,0.951
